所属年月,商家名称,主营类型,店铺URL,特色菜,累计评论数,累计销售量,店铺评分,本月销量,本月销售额,城市,商家地址,电话
2017-05-01,香桥缘过桥米线重庆小面（步行街店）,霸王餐,http://www.meituan.com/shop/42503561,,201,1158,5.0,116.0,1148.4,临沂,莒南县新建路中段一中小区大门口南20米（奇美玩具屋对面）,18669930937
2017-06-01,香桥缘过桥米线重庆小面（步行街店）,霸王餐,http://junan.meituan.com/shop/42503561,,209,1165,5.0,19.0,192.27,临沂,莒南县新建路中段一中小区大门口南20米（奇美玩具屋对面）,18669930937
2017-04-01,香桥缘过桥米线重庆小面（步行街店）,霸王餐,http://www.meituan.com/shop/42503561,,201,1155,5.0,28.0,279.36,临沂,莒南县新建路中段一中小区大门口南20米（奇美玩具屋对面）,18669930937
2017-03-01,香桥缘过桥米线重庆小面（步行街店）,霸王餐,http://www.meituan.com/shop/42503561,,201,1155,5.0,29.0,290.1,临沂,莒南县新建路中段一中小区大门口南20米（奇美玩具屋对面）,18669930937
2017-07-01,兴禾农家乐,采摘/农家乐,http://bz.meituan.com/shop/42763151,,,,分,0.0,0.0,滨州,邹平县西外环中段碑楼村路口,0543-4965988
2017-07-01,东盛源农家乐,采摘/农家乐,http://lw.meituan.com/shop/41388801,,,,3.5,0.0,0.0,莱芜,钢城区辛庄镇莱钢大道与329省道交叉口东200米路北,15263489388
2017-03-01,滨州大饭店,自助餐,http://www.meituan.com/shop/2181970,大虾 海鲜烤肉 蟹柳 甜点 烤鸡翅 蛋糕 烤牛肉 蛋塔 全麦面包 冰激凌 芝士蛋糕 铁板烧 南瓜汁 毛蟹 烤鹿肉 蟹腿肉 元贝 冰淇淋 北京烤鸭 小点心 小羊排 西柚汁 黑椒牛肉 1 墨西哥卷饼 意大利面 提拉米苏 水晶虾饺 汤 炒米饭 爬虾 生吃鱼片 生鱼片拼盘 美式咖啡 大虾 海鲜烤肉 蟹柳 甜点 烤鸡翅 蛋糕 烤牛肉 蛋塔 全麦面包 冰激凌 芝士蛋糕 铁板烧 南瓜汁 毛蟹 更多》,20622,34324,5.0,868.0,60313.9,滨州,滨城区渤海十八路762号,0543-2222222-8811/2222222-7056
2017-03-01,串串香大骨头自助,自助餐,http://www.meituan.com/shop/112476523,,,198,4.0,11.0,354.56,东营,河口区德胜街西首路南,15166234455
2017-03-01,北京汉丽轩自助烤肉（蒙阴店）,自助餐,http://www.meituan.com/shop/2474959,培根 翅中 香芋球 烤 小蛋糕 培根肉 小点心 甜点 小糕点 冰淇淋 奶茶 大虾 桂圆 火锅底 烤羊肉串 烤虾 麻辣小龙虾 牙签肉 羊肉片 蟹子 鱼 鸡尾酒 前菜 火龙果 烤翅 葡萄汁 酸梅汁 哈密瓜 拔丝地瓜 水饺 烤培根 猕猴桃 生蚝 肉卷 草莓汁 菠菜 薯条 西瓜汁 辣子鸡 酸梅汤 鸡翅根 培根 翅中 香芋球 烤 小蛋糕 培根肉 小点心 甜点 小糕点 冰淇淋 奶茶 大虾 桂圆 火锅底 更多》,9664,7099,4.1,655.0,30352.6,临沂,蒙阴县蒙山路与兴蒙路交汇处桃源超市3楼,0539-7141456
2017-04-01,馨百酒店爱琴海自助餐,自助餐,http://www.meituan.com/shop/2667014,炸虾 牛排 小龙虾 蛋挞 小点心 海鲜火锅 羊肉片 小蛋糕 水果沙拉 冰激凌 海鲜毛血旺 烤翅 煎鱿鱼 红烧茄子 意大利面 扇贝 薯条 丸子 梨汤 炒米饭 毛血旺 涮羊肉 炸鱼 烤面筋 翅中 葡萄酒 北京烤鸭 叉烧肉 慕斯 涮菜 爬虾 肉卷 蛋炒饭 西瓜 贝壳 香辣蟹 炸虾 牛排 小龙虾 蛋挞 小点心 海鲜火锅 羊肉片 小蛋糕 水果沙拉 冰激凌 海鲜毛血旺 烤翅 煎鱿鱼 红烧茄子 更多》,13372,32273,4.7,258.0,16347.6,莱芜,莱城区鲁中东大街17号馨百酒店1楼,0634-6607000
2017-04-01,罗蒂爸爸（凤城西大街店）,自助餐,http://www.meituan.com/shop/4504266,咖啡面包 (6元/份)奶茶 牛肉披萨,1038,518,4.6,2.0,30.8,莱芜,莱城区凤城西大街实验中学西第四个门头,13031756958
2017-03-01,比家香自助水饺（黄岛区总店）,自助餐,http://www.meituan.com/shop/111902475,,,512,4.2,114.0,2591.76,青岛,黄岛区九方海悦华庭西门北侧,15166395871
2017-03-01,初客牛排自助餐（水悦城店）,自助餐,http://www.meituan.com/shop/68906851,蛋挞 意面 水果沙拉 冷面 海蛎子 冰激凌 小点心 沙拉 蒸饺 水果披萨 糖醋里脊 鱿鱼圈 西瓜 炸鸡块 蛋挞披萨 牛扒 奶茶 蔬菜沙拉 关东煮 冰淇淋 布丁 凉面 炸鸡翅根 自助单人餐（澳洲特选牛排） (68元/份)草莓蛋糕 拿铁咖啡 玉米粒 酸菜鱼 意大利面 炸鱿鱼面 蛋塔 辣子鸡 儿童牛排 冰激凌冷面 干锅鸭头 披萨蛋挞 果冻 果汁 果盘 泡菜 煎蛋 丸子 小蛋糕 海鲜意面 酸奶 鱼 鸡 伯爵奶茶 寿司 小布丁 披萨饼 榴莲 比萨 毛血旺 水晶饺 汉堡 海带丝 炸鱼饼 皮蛋瘦肉粥 糖醋里脊肉 鱿鱼 麻辣鸭头 蛋挞 意面 水果沙拉 冷面 海蛎子 冰激凌 小点心 沙拉 蒸饺 水果披萨 糖醋里脊 鱿鱼圈 西瓜 炸鸡块 更多》,5174,8454,4.0,248.0,26625.1,青岛,城阳区正阳路177号水悦城26号楼-3室（汉堡王北临，非你莫属青春餐厅旁）,0532-86775888
2017-03-01,包婆婆自助水饺,自助餐,http://www.meituan.com/shop/152574037,,,,4.5,2.0,45.01,青岛,即墨市嵩山二路504号,400-991-2822
2017-03-01,东山宾馆自助餐,自助餐,http://www.meituan.com/shop/73859861,,,3256,3.6,41.0,3211.66,威海,环翠区东山路26号（东山宾馆）,0631-5850588/5850589
2017-03-01,东方大厦旋转自助餐厅,自助餐,http://www.meituan.com/shop/6822796,铁板烧 炒菜烤肉 冰淇淋 煎牛肉 鲜虾 大螃蟹 酸奶 小海螺 西瓜 麻辣小龙虾 土豆饼 手抓羊排 披萨 水果 烤鱼 蟹子 铁板鱿鱼 凉菜 水煮肉片 炸鱼 紫菜包饭 铁板烧 炒菜烤肉 冰淇淋 煎牛肉 鲜虾 大螃蟹 酸奶 小海螺 西瓜 麻辣小龙虾 土豆饼 手抓羊排 披萨 水果 更多》,773,7135,3.7,140.0,9764.47,威海,乳山市城区街道胜利街72号西东方大厦内,0631-6677166
