SEQ,国家,省份,城市,处于商圈,是否为客栈,酒店星级,业务部门,剩余房间,图片数,酒店评分,用户点评数,城市平均实住间夜,酒店总订单,酒店总间夜,酒店实住订单,酒店实住间夜,酒店直销订单,酒店直销间夜,酒店直销实住订单,酒店直销实住间夜,酒店直销拒单,酒店直销拒单率,城市直销拒单率,拒单率是否小于等于直销城市均值,最低房间价格
baoshan_2274,中国,云南,保山,和顺古镇,0,二星及其他,低星,0,0,,0,15.2904109589,0,0,0,0,0,0,0,0,0,,0.0369363244958,0,248
baoshan_2273,中国,云南,保山,和顺古镇,0,二星及其他,低星,16,0,,0,15.2904109589,0,0,0,0,0,0,0,0,0,,0.0369363244958,0,234
baoshan_2276,中国,云南,保山,,0,二星及其他,低星,0,0,,0,15.2904109589,0,0,0,0,0,0,0,0,0,,0.0369363244958,0,427
beihai_2624,中国,广西,北海,涠洲岛,1,二星及其他,客栈,15,0,4.3272700310,29,29.6444212722,0,0,0,0,0,0,0,0,0,,0.0318109943261,0,189
changsha_10093,中国,湖南,长沙,长沙站,0,二星及其他,低星,9,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,320
changsha_10091,中国,湖南,长沙,红星商圈,0,三星级/舒适,低星,116,0,4.5025200844,207,41.4099009901,167,226,113,140,95,131,69,86,0,0,0.0335057485981,1,462
changsha_10092,中国,湖南,长沙,长沙站,0,二星及其他,低星,10,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,128
changsha_10089,中国,湖南,长沙,河西大学城商圈,0,二星及其他,低星,13,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,333
changsha_10088,中国,湖南,长沙,岳麓山景区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,136
changsha_10087,中国,湖南,长沙,,0,二星及其他,低星,43,0,4.5909099579,39,41.4099009901,20,35,16,29,20,35,16,29,1,0.05,0.0335057485981,0,395
changsha_10086,中国,湖南,长沙,,0,二星及其他,低星,20,0,4.4545497894,11,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,243
changsha_10085,中国,湖南,长沙,河西大学城商圈,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,490
changsha_10084,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,24,0,5.0000000000,1,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,238
changsha_10083,中国,湖南,长沙,岳麓山景区,0,二星及其他,低星,0,0,4.1915497780,74,41.4099009901,12,13,7,8,12,13,7,8,0,0,0.0335057485981,1,340
changsha_10082,中国,湖南,长沙,,0,二星及其他,低星,15,0,4.6666698456,3,41.4099009901,1,2,0,0,0,0,0,0,0,,0.0335057485981,0,162
changsha_10081,中国,湖南,长沙,五一广场,1,经济型,客栈,20,0,4.4878201485,658,41.4099009901,97,131,46,57,43,63,22,28,1,0.0232558139535,0.0335057485981,1,0
changsha_10080,中国,湖南,长沙,,0,二星及其他,低星,15,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,461
changsha_10079,中国,湖南,长沙,,0,二星及其他,低星,16,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,491
changsha_10078,中国,湖南,长沙,,0,二星及其他,低星,29,0,4.1345901489,69,41.4099009901,16,20,5,7,0,0,0,0,0,,0.0335057485981,0,296
changsha_10220,中国,湖南,长沙,红星商圈,0,二星及其他,低星,18,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,387
changsha_10219,中国,湖南,长沙,,0,二星及其他,低星,10,0,4.9170498848,51,41.4099009901,9,12,6,6,8,8,6,6,0,0,0.0335057485981,1,470
changsha_10218,中国,湖南,长沙,,0,二星及其他,低星,28,0,4.7838997841,12,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,197
changsha_10183,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,26,0,4.8780498505,2,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,439
changsha_10181,中国,湖南,长沙,星沙技术开发区,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,420
changsha_10182,中国,湖南,长沙,五一广场,0,二星及其他,低星,0,0,,0,41.4099009901,0,0,0,0,0,0,0,0,0,,0.0335057485981,0,197
